,0
params_smb_pr.1.1.1,-0.9041451275555
params_smb_pr.2.1.1,-1.6945836107499999
params_smb_pr.3.1.1,-0.8472530019150001
params_smb_pr.4.1.1,-0.7311393311969999
params_smb_pr.5.1.1,-0.47521874880424997
params_smb_pr.6.1.1,-1.576491024775
params_smb_pr.7.1.1,-1.4155387652000002
params_smb_pr.8.1.1,-2.3871859100000004
params_smb_pr.9.1.1,-2.18090210475
params_smb_pr.10.1.1,-0.6326056049285
params_smb_pr.11.1.1,-0.7530453551027501
params_smb_pr.12.1.1,-1.826025841
params_smb_pr.13.1.1,-1.0291612143982503
params_smb_pr.14.1.1,-1.70667804575
params_smb_pr.15.1.1,-2.36515092475
params_smb_pr.16.1.1,-0.6381266027795
params_smb_pr.17.1.1,-0.710985161594
params_smb_pr.18.1.1,-0.8347736137265
params_smb_pr.19.1.1,-0.6889815013925
params_smb_pr.20.1.1,-2.6030964624999995
params_smb_pr.21.1.1,-1.995502961
params_smb_pr.22.1.1,-2.1453288035000004
params_smb_pr.23.1.1,-1.0421302947175
params_smb_pr.24.1.1,-1.1163734634575
params_smb_pr.25.1.1,-1.9392751787500002
params_smb_pr.26.1.1,-1.808554225
params_smb_pr.27.1.1,-2.4824784885
params_smb_pr.28.1.1,-0.124377550282825
params_smb_pr.29.1.1,-1.69468342725
params_smb_pr.30.1.1,-0.7069786576271
params_smb_pr.31.1.1,-0.2763627447015
params_smb_pr.32.1.1,0.0679833351672
params_smb_pr.33.1.1,-2.03047556925
params_smb_pr.34.1.1,-0.9964240343475
params_smb_pr.35.1.1,-1.751313915075
params_smb_pr.36.1.1,-2.4286560815
params_smb_pr.37.1.1,-0.9496216536025
params_smb_pr.38.1.1,-1.210524249265
params_smb_pr.39.1.1,-1.6752309972500001
params_smb_pr.40.1.1,0.3705129213555
params_smb_pr.41.1.1,-0.0031170731315000024
params_smb_pr.42.1.1,-0.72920983823925
params_smb_pr.43.1.1,-1.97574340775
params_smb_pr.44.1.1,-1.2068771630250001
params_smb_pr.45.1.1,0.5713035733222499
params_smb_pr.46.1.1,-2.8345943824999993
params_smb_pr.47.1.1,-1.6541249955000001
params_smb_pr.48.1.1,-0.19328154214800003
params_smb_pr.49.1.1,-0.33397946417172497
params_smb_pr.50.1.1,-1.87109545625
params_smb_pr.51.1.1,0.11147644225400001
params_smb_pr.52.1.1,-2.28123359
params_smb_pr.53.1.1,-1.2404477039725
params_smb_pr.54.1.1,-0.5991377353630001
params_smb_pr.55.1.1,-0.6451109078602001
params_smb_pr.56.1.1,-1.5447991507675
params_smb_pr.57.1.1,-0.46778627886475
params_smb_pr.58.1.1,-0.5610410711835
params_smb_pr.59.1.1,-0.479267614206
params_smb_pr.60.1.1,-0.9247929719834999
params_smb_pr.61.1.1,-1.90066166525
params_smb_pr.62.1.1,-0.0532772875155275
params_smb_pr.63.1.1,-1.5816195937500002
params_smb_pr.64.1.1,-0.724520352514
params_smb_pr.65.1.1,-2.3549967135
params_smb_pr.66.1.1,-1.4609595647
params_smb_pr.67.1.1,-0.181838803101725
params_smb_pr.68.1.1,-0.39316964004475
params_smb_pr.69.1.1,-0.033732116754350006
params_smb_pr.70.1.1,-0.335808512921
params_smb_pr.71.1.1,-0.6016408007825
params_smb_pr.72.1.1,-0.24193774331599996
params_smb_pr.73.1.1,-0.8367621612524999
params_smb_pr.74.1.1,-1.3557701399
params_smb_pr.75.1.1,-1.6440649959725
params_smb_pr.76.1.1,-1.3461877100000001
params_smb_pr.77.1.1,-1.16504888858
params_smb_pr.78.1.1,-1.2210609752000001
params_smb_pr.79.1.1,0.37527166240875004
params_smb_pr.80.1.1,0.360569226042
params_smb_pr.81.1.1,-1.96191667925
params_smb_pr.82.1.1,-1.1525721518765
params_smb_pr.83.1.1,0.35788883220289996
params_smb_pr.84.1.1,-0.008871299553
params_smb_pr.85.1.1,0.002543204193499994
params_smb_pr.86.1.1,-0.03089678939250001
params_smb_pr.87.1.1,-0.0026927012468
params_smb_pr.88.1.1,-0.015512523026500002
params_smb_pr.89.1.1,0.42060477239099997
params_smb_pr.90.1.1,-2.50066323275
params_smb_pr.1.2.1,-1.0661389855474999
params_smb_pr.2.2.1,-0.0062802790180000005
params_smb_pr.3.2.1,-1.03616768318
params_smb_pr.4.2.1,1.4654505146599999
params_smb_pr.5.2.1,-0.68241255396175
params_smb_pr.6.2.1,-0.493090231011
params_smb_pr.7.2.1,-0.6412083096669999
params_smb_pr.8.2.1,-2.6105181575
params_smb_pr.9.2.1,-0.00949857231575
params_smb_pr.10.2.1,-1.1286682905375
params_smb_pr.11.2.1,-0.8484398309519999
params_smb_pr.12.2.1,-0.34155289136675004
params_smb_pr.13.2.1,-0.6904468469407
params_smb_pr.14.2.1,-0.51332805783965
params_smb_pr.15.2.1,-1.6016958158074999
params_smb_pr.16.2.1,-0.17892590382399998
params_smb_pr.17.2.1,0.015369060604499999
params_smb_pr.18.2.1,-0.6458760952960001
params_smb_pr.19.2.1,-0.8166218080481324
params_smb_pr.20.2.1,1.0261810954825001
params_smb_pr.21.2.1,0.36468253204325
params_smb_pr.22.2.1,-0.20788613434699998
params_smb_pr.23.2.1,-0.151500615577
params_smb_pr.24.2.1,-0.5906414378865
params_smb_pr.25.2.1,-0.7908891489336249
params_smb_pr.26.2.1,-0.31357528223345005
params_smb_pr.27.2.1,0.42149798882325
params_smb_pr.28.2.1,0.04460570170675001
params_smb_pr.29.2.1,-0.43235742858525
params_smb_pr.30.2.1,0.34298329161549995
params_smb_pr.31.2.1,-1.9469335835
params_smb_pr.32.2.1,-0.5480087032047499
params_smb_pr.33.2.1,-0.5475673773654751
params_smb_pr.34.2.1,-0.20926559113535
params_smb_pr.35.2.1,-1.069672982305
params_smb_pr.36.2.1,-2.0500152543
params_smb_pr.37.2.1,-0.22438456721119998
params_smb_pr.38.2.1,-0.0860701816255
params_smb_pr.39.2.1,-1.3398424655999999
params_smb_pr.40.2.1,-1.789595003775
params_smb_pr.41.2.1,-0.7626026908460001
params_smb_pr.42.2.1,-0.5232553034865
params_smb_pr.43.2.1,1.4259124587449998
params_smb_pr.44.2.1,-0.461047093648
params_smb_pr.45.2.1,-1.22583303945
params_smb_pr.46.2.1,-0.7158325639130001
params_smb_pr.47.2.1,-1.4533727675
params_smb_pr.48.2.1,-0.6220468384443
params_smb_pr.49.2.1,-0.22603325337000002
params_smb_pr.50.2.1,-1.396809338925
params_smb_pr.51.2.1,-0.7267819041605
params_smb_pr.52.2.1,-1.740793103225
params_smb_pr.53.2.1,-0.32758000618077493
params_smb_pr.54.2.1,-0.60734254643325
params_smb_pr.55.2.1,-0.5172228888479999
params_smb_pr.56.2.1,-0.5804766047632499
params_smb_pr.57.2.1,0.78585276655
params_smb_pr.58.2.1,-0.0002835811652499993
params_smb_pr.59.2.1,-1.514842066275
params_smb_pr.60.2.1,0.6850011188537499
params_smb_pr.61.2.1,0.45425322048850003
params_smb_pr.62.2.1,-1.1150140572005003
params_smb_pr.63.2.1,-0.6819551810124999
params_smb_pr.64.2.1,-1.0409654398375001
params_smb_pr.65.2.1,-1.3355594405500002
params_smb_pr.66.2.1,1.0031399077999998
params_smb_pr.67.2.1,-1.12871068752125
params_smb_pr.68.2.1,-1.33457017125
params_smb_pr.69.2.1,0.5823119020115001
params_smb_pr.70.2.1,-0.9948565995125
params_smb_pr.71.2.1,-0.592786440665
params_smb_pr.72.2.1,0.299414160157525
params_smb_pr.73.2.1,-0.050205884493249996
params_smb_pr.74.2.1,-0.8896395894595
params_smb_pr.75.2.1,0.66430573789215
params_smb_pr.76.2.1,0.08796059204822501
params_smb_pr.77.2.1,-0.034265871052375
params_smb_pr.78.2.1,-0.71182668431825
params_smb_pr.79.2.1,-0.747658070403
params_smb_pr.80.2.1,-0.6845022719815
params_smb_pr.81.2.1,-0.14455418038292497
params_smb_pr.82.2.1,0.397765124013525
params_smb_pr.83.2.1,-0.56365650255825
params_smb_pr.84.2.1,-0.47474370473309996
params_smb_pr.85.2.1,-0.44184948952075004
params_smb_pr.86.2.1,-1.1843199523
params_smb_pr.87.2.1,-0.014767773426999998
params_smb_pr.88.2.1,-0.8167668857874001
params_smb_pr.89.2.1,-1.44653839315
params_smb_pr.90.2.1,-0.232625733869675
params_smb_pr.1.3.1,-0.49877078186325
params_smb_pr.2.3.1,-0.80380186365825
params_smb_pr.3.3.1,0.11685938491625
params_smb_pr.4.3.1,-1.0406288922765001
params_smb_pr.5.3.1,0.026107128713249998
params_smb_pr.6.3.1,-0.28546490789505
params_smb_pr.7.3.1,0.276575545316575
params_smb_pr.8.3.1,0.14464670055471526
params_smb_pr.9.3.1,-1.7651235312499998
params_smb_pr.10.3.1,0.00490427932125
params_smb_pr.11.3.1,-0.2956376971403751
params_smb_pr.12.3.1,-0.2346055012015
params_smb_pr.13.3.1,-0.6038122787471976
params_smb_pr.14.3.1,-0.51722572473525
params_smb_pr.15.3.1,-0.91486605185875
params_smb_pr.16.3.1,1.15488423666725
params_smb_pr.17.3.1,-0.50625830526575
params_smb_pr.18.3.1,0.057324079415750004
params_smb_pr.19.3.1,0.14116860170075
params_smb_pr.20.3.1,0.05367013132415
params_smb_pr.21.3.1,0.1004083269442
params_smb_pr.22.3.1,0.4019027728345
params_smb_pr.23.3.1,-0.9222697097524999
params_smb_pr.24.3.1,0.6378280628303999
params_smb_pr.25.3.1,-0.22307478652737497
params_smb_pr.26.3.1,-1.1123475954057498
