,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,trial_index,weekId,subjectId,expId,rt,block,top_p,low_p,hi_narr,lo_narr,hi_wide,lo_wide,ticket1_EV,ticket2_EV,difference,choice,EV_chosen,correct,correct_choice,date
360,360,114,55,55,1,bprekwckiqdd,lt,6848,block_3,100,0,180,144,346,9,180,346,-166,0,more,TRUE,ticket2,7/13/2020
361,361,115,57,57,1,bprekwckiqdd,lt,2718,block_3,50,50,200,160,384.5,10,180,197.25,-17.25,1,less,FALSE,ticket2,7/13/2020
362,362,116,59,59,1,bprekwckiqdd,lt,3928,block_3,90,10,210,168,404,10.5,205.8,364.65,-158.85,0,more,TRUE,ticket2,7/13/2020
363,363,117,61,61,1,bprekwckiqdd,lt,3081,block_3,60,40,210,168,404,10.5,193.2,246.6,-53.4,1,less,FALSE,ticket2,7/13/2020
364,364,118,63,63,1,bprekwckiqdd,lt,5217,block_3,10,90,220,176,423,11,180.4,52.2,128.2,1,more,TRUE,ticket1,7/13/2020
365,365,119,65,65,1,bprekwckiqdd,lt,4471,block_3,70,30,210,168,404,10.5,197.4,285.95,-88.55,1,less,FALSE,ticket2,7/13/2020
366,366,3361,7,7,2,bprekwckiqdd,lt,6134,block_1,60,40,2.2,1.76,4.23,0.11,2.024,2.582,-0.558,1,less,FALSE,ticket2,7/13/2020
367,367,3362,9,9,2,bprekwckiqdd,lt,6277,block_1,10,90,1.4,1.12,2.69,0.07,1.148,0.332,0.816,1,more,TRUE,ticket1,7/13/2020
368,368,3363,11,11,2,bprekwckiqdd,lt,5892,block_1,30,70,2,1.6,3.85,0.1,1.72,1.225,0.495,1,more,TRUE,ticket1,7/13/2020
369,369,3364,13,13,2,bprekwckiqdd,lt,4910,block_1,20,80,2.4,1.92,4.62,0.12,2.016,1.02,0.996,1,more,TRUE,ticket1,7/13/2020
370,370,3365,15,15,2,bprekwckiqdd,lt,7968,block_1,90,10,2,1.6,3.85,0.1,1.96,3.475,-1.515,0,more,TRUE,ticket2,7/13/2020
