,Unnamed: 0,Unnamed: 0.1,trial_index,weekId,subjectId,expId,rt,small_amount,large_amount,later_delay,choice,date
53,5539,13,13,3,bkvnluqzwjwe,itc,7245.0,23.0,35.0,87.0,1,07/13/2020
54,5540,15,15,3,bkvnluqzwjwe,itc,7994.0,50.0,60.0,80.0,1,07/13/2020
55,5541,17,17,3,bkvnluqzwjwe,itc,3345.0,34.0,35.0,183.0,0,07/13/2020
56,5542,19,19,3,bkvnluqzwjwe,itc,2056.0,54.0,85.0,14.0,1,07/13/2020
57,5543,21,21,3,bkvnluqzwjwe,itc,7983.0,6.0,25.0,198.0,1,07/13/2020
58,5544,23,23,3,bkvnluqzwjwe,itc,2445.0,15.0,30.0,10.0,1,07/13/2020
59,5545,25,25,3,bkvnluqzwjwe,itc,3257.0,82.0,85.0,229.0,0,07/13/2020
60,5546,27,27,3,bkvnluqzwjwe,itc,2509.0,23.0,25.0,87.0,0,07/13/2020
61,5547,29,29,3,bkvnluqzwjwe,itc,2547.0,60.0,75.0,100.0,1,07/13/2020
62,5548,31,31,3,bkvnluqzwjwe,itc,6551.0,25.0,30.0,80.0,0,07/13/2020
63,5549,33,33,3,bkvnluqzwjwe,itc,1539.0,50.0,85.0,7.0,1,07/13/2020
64,5550,35,35,3,bkvnluqzwjwe,itc,2019.0,50.0,80.0,100.0,1,07/13/2020
65,5551,37,37,3,bkvnluqzwjwe,itc,2745.0,59.0,60.0,17.0,0,07/13/2020
66,5552,39,39,3,bkvnluqzwjwe,itc,2989.0,29.0,30.0,86.0,0,07/13/2020
67,5553,41,41,3,bkvnluqzwjwe,itc,1683.0,10.0,60.0,122.0,1,07/13/2020
68,5554,43,43,3,bkvnluqzwjwe,itc,2174.0,5.0,25.0,16.0,1,07/13/2020
69,5555,45,45,3,bkvnluqzwjwe,itc,2175.0,19.0,50.0,102.0,1,07/13/2020
70,5556,47,47,3,bkvnluqzwjwe,itc,2093.0,10.0,35.0,61.0,1,07/13/2020
71,5557,49,49,3,bkvnluqzwjwe,itc,1950.0,31.0,55.0,129.0,1,07/13/2020
72,5558,51,51,3,bkvnluqzwjwe,itc,1878.0,10.0,50.0,16.0,1,07/13/2020
73,5559,53,53,3,bkvnluqzwjwe,itc,3589.0,49.0,50.0,51.0,0,07/13/2020
74,5560,55,55,3,bkvnluqzwjwe,itc,2855.0,78.0,80.0,64.0,0,07/13/2020
75,5561,57,57,3,bkvnluqzwjwe,itc,3101.0,54.0,55.0,116.0,0,07/13/2020
76,8154,5,5,4,bkvnluqzwjwe,itc,8987.0,34.0,80.0,33.0,1,07/13/2020
77,8156,9,9,4,bkvnluqzwjwe,itc,3818.0,5.0,55.0,244.0,1,07/13/2020
78,8157,11,11,4,bkvnluqzwjwe,itc,4707.0,31.0,55.0,129.0,1,07/13/2020
79,8158,13,13,4,bkvnluqzwjwe,itc,2308.0,20.0,55.0,7.0,1,07/13/2020
80,8159,15,15,4,bkvnluqzwjwe,itc,1886.0,5.0,25.0,16.0,1,07/13/2020
81,8160,17,17,4,bkvnluqzwjwe,itc,5022.0,78.0,80.0,64.0,0,07/13/2020
82,8161,19,19,4,bkvnluqzwjwe,itc,2240.0,14.0,35.0,15.0,1,07/13/2020
83,8162,21,21,4,bkvnluqzwjwe,itc,1807.0,20.0,80.0,12.0,1,07/13/2020
84,8163,23,23,4,bkvnluqzwjwe,itc,3577.0,49.0,50.0,127.0,0,07/13/2020
85,8165,27,27,4,bkvnluqzwjwe,itc,1736.0,30.0,75.0,15.0,1,07/13/2020
86,8166,29,29,4,bkvnluqzwjwe,itc,4143.0,34.0,85.0,250.0,1,07/13/2020
87,8167,31,31,4,bkvnluqzwjwe,itc,5512.0,13.0,30.0,218.0,1,07/13/2020
88,8168,33,33,4,bkvnluqzwjwe,itc,6707.0,50.0,60.0,80.0,1,07/13/2020
89,8169,35,35,4,bkvnluqzwjwe,itc,2174.0,24.0,25.0,104.0,0,07/13/2020
90,8171,39,39,4,bkvnluqzwjwe,itc,3280.0,10.0,35.0,61.0,1,07/13/2020
91,8173,43,43,4,bkvnluqzwjwe,itc,2358.0,23.0,25.0,87.0,0,07/13/2020
92,8174,45,45,4,bkvnluqzwjwe,itc,2895.0,82.0,85.0,229.0,0,07/13/2020
93,8175,47,47,4,bkvnluqzwjwe,itc,3514.0,32.0,75.0,84.0,1,07/13/2020
94,8176,49,49,4,bkvnluqzwjwe,itc,5116.0,59.0,60.0,17.0,0,07/13/2020
95,8177,51,51,4,bkvnluqzwjwe,itc,5684.0,25.0,50.0,10.0,1,07/13/2020
96,8178,53,53,4,bkvnluqzwjwe,itc,1634.0,34.0,35.0,183.0,0,07/13/2020
97,8179,55,55,4,bkvnluqzwjwe,itc,3370.0,20.0,60.0,125.0,1,07/13/2020
98,8180,57,57,4,bkvnluqzwjwe,itc,2502.0,49.0,50.0,51.0,0,07/13/2020
99,10693,7,7,5,bkvnluqzwjwe,itc,4950.0,80.0,85.0,25.0,1,07/13/2020
100,10694,9,9,5,bkvnluqzwjwe,itc,6392.0,49.0,50.0,127.0,0,07/13/2020
101,10695,11,11,5,bkvnluqzwjwe,itc,2460.0,10.0,35.0,10.0,1,07/13/2020
102,10696,13,13,5,bkvnluqzwjwe,itc,5588.0,6.0,25.0,198.0,1,07/13/2020
103,10697,15,15,5,bkvnluqzwjwe,itc,8937.0,27.0,30.0,111.0,0,07/13/2020
104,10698,17,17,5,bkvnluqzwjwe,itc,6475.0,25.0,55.0,12.0,1,07/13/2020
105,10699,19,19,5,bkvnluqzwjwe,itc,5719.0,5.0,30.0,122.0,1,07/13/2020
106,10700,21,21,5,bkvnluqzwjwe,itc,3594.0,28.0,35.0,100.0,1,07/13/2020
107,10701,23,23,5,bkvnluqzwjwe,itc,2330.0,40.0,80.0,10.0,1,07/13/2020
108,10702,25,25,5,bkvnluqzwjwe,itc,3423.0,34.0,85.0,250.0,1,07/13/2020
109,10703,27,27,5,bkvnluqzwjwe,itc,1780.0,10.0,25.0,15.0,1,07/13/2020
110,10704,29,29,5,bkvnluqzwjwe,itc,2780.0,10.0,50.0,16.0,1,07/13/2020
111,10705,31,31,5,bkvnluqzwjwe,itc,2506.0,20.0,85.0,13.0,1,07/13/2020
112,10706,33,33,5,bkvnluqzwjwe,itc,1858.0,12.0,75.0,128.0,1,07/13/2020
113,10707,35,35,5,bkvnluqzwjwe,itc,8453.0,72.0,75.0,104.0,0,07/13/2020
114,10708,37,37,5,bkvnluqzwjwe,itc,5114.0,52.0,55.0,144.0,0,07/13/2020
115,10709,39,39,5,bkvnluqzwjwe,itc,3383.0,53.0,60.0,22.0,1,07/13/2020
116,10710,41,41,5,bkvnluqzwjwe,itc,8678.0,79.0,80.0,79.0,0,07/13/2020
117,10711,43,43,5,bkvnluqzwjwe,itc,9445.0,29.0,30.0,215.0,0,07/13/2020
118,10712,45,45,5,bkvnluqzwjwe,itc,7955.0,50.0,55.0,40.0,1,07/13/2020
119,10713,47,47,5,bkvnluqzwjwe,itc,4246.0,32.0,35.0,234.0,0,07/13/2020
120,10714,49,49,5,bkvnluqzwjwe,itc,2149.0,33.0,80.0,89.0,1,07/13/2020
121,10715,51,51,5,bkvnluqzwjwe,itc,5598.0,69.0,75.0,87.0,1,07/13/2020
122,10716,53,53,5,bkvnluqzwjwe,itc,2460.0,10.0,60.0,122.0,1,07/13/2020
123,10717,55,55,5,bkvnluqzwjwe,itc,2581.0,20.0,60.0,125.0,1,07/13/2020
124,13230,5,5,6,bkvnluqzwjwe,itc,9261.0,34.0,85.0,250.0,1,07/13/2020
125,13231,7,7,6,bkvnluqzwjwe,itc,3098.0,32.0,35.0,234.0,0,07/13/2020
126,13232,9,9,6,bkvnluqzwjwe,itc,4396.0,24.0,25.0,260.0,0,07/13/2020
